FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
39157,OH,TUSCARAWAS,8.190476,116.0,127.49,high,13.75,0.6201
51089,VA,HENRY,9.654762,143.0,126.38,high,20.7113,0.4208
51169,VA,SCOTT,-7.380952,105.0,123.02,high,47.0774,0.0772
21081,KY,GRANT,8.166667,71.0,118.83,high,14.5833,0.5572
39135,OH,PREBLE,9.892857,107.0,118.43,high,18.6071,0.5599
51067,VA,FRANKLIN,2.047619,83.0,117.56,high,31.875,0.0148
21199,KY,PULASKI,-9.904762,114.0,115.87,high,67.5506,0.0832
42097,PA,NORTHUMBERLAND,5.928571,85.0,114.54,high,18.9821,0.2609
51197,VA,WYTHE,-5.25,87.0,114.25,high,25.9375,0.102
42085,PA,MERCER,2.857143,91.0,112.57,high,14.4286,0.1343
51165,VA,ROCKINGHAM,3.833333,113.0,110.42,high,9.4583,0.3358
42001,PA,ADAMS,6.535714,80.0,109.61,high,12.6429,0.5425
42111,PA,SOMERSET,3.940476,85.0,107.49,high,16.875,0.16
21211,KY,SHELBY,10.011905,67.0,106.95,high,9.5982,0.8089
51105,VA,LEE,4.154762,96.0,105.63,high,16.2768,0.1671
51173,VA,SMYTH,4.77381,116.0,105.15,high,24.4315,0.1525
51137,VA,ORANGE,7.0,77.0,104.5,high,11.25,0.6074
39073,OH,HOCKING,7.416667,86.0,103.58,high,9.9583,0.6612
21179,KY,NELSON,7.595238,107.0,102.87,high,15.628,0.4676
54025,WV,GREENBRIER,4.72619,31.0,102.6,high,37.5565,0.058
42073,PA,LAWRENCE,-2.357143,97.0,100.18,high,29.0,0.0244
21113,KY,JESSAMINE,-11.583333,128.0,98.58,watch,29.0208,0.313
51199,VA,YORK,8.202381,92.0,96.44,watch,11.4196,0.6592
39175,OH,WYANDOT,9.309524,66.0,96.01,watch,11.6161,0.6664
51015,VA,AUGUSTA,6.559524,59.0,95.01,watch,15.2946,0.3917
39001,OH,ADAMS,-10.642857,107.0,94.57,watch,32.1607,0.2777
42025,PA,CARBON,3.642857,65.0,93.93,watch,15.1607,0.2037
51117,VA,MECKLENBURG,6.416667,80.0,93.58,watch,13.8542,0.3473
54045,WV,LOGAN,-5.738095,89.0,92.2,watch,20.3155,0.2513
39123,OH,OTTAWA,5.154762,65.0,90.88,watch,14.3244,0.3308
51051,VA,DICKENSON,2.880952,113.0,87.48,watch,17.8631,0.092
21209,KY,SCOTT,-1.547619,71.0,87.19,watch,47.8869,0.0037
42121,PA,VENANGO,2.464286,77.0,84.39,watch,5.4732,0.3807
51193,VA,WESTMORELAND,7.02381,69.0,83.15,watch,4.75,0.8993
51005,VA,ALLEGHANY,5.547619,74.0,82.81,watch,10.006,0.5234
21121,KY,KNOX,-10.011905,91.0,82.55,watch,28.9315,0.261
51033,VA,CAROLINE,5.071429,69.0,81.21,watch,10.2143,0.5185
